num_expediente,fecha,hora,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga,,
2022S001068,18/01/2022,12:50:00,AVDA. ENSANCHE DE VALLECAS / CALL. JOSE GUTIERREZ MAROTO,56,18,VILLA DE VALLECAS,Caída,Despejado,Bicicleta,Conductor,Más de 74 años,Hombre,1,Atención en urgencias sin posterior ingreso,448773756,4468501536,N,NULL,,
2022S001141,19/01/2022,23:26:00,AVDA. REAL DE PINTO,91,91,17,VILLAVERDE,Alcance,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,439471963,4465069933,N,NULL,
2022S001190,20/01/2022,19:00:00,AVDA. CIUDAD DE BARCELONA / CALL. ARREGUI Y ARUEJ,113,3,RETIRO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 35 a 39 años,Mujer,2,Ingreso inferior o igual a 24 horas,443162743,4472217220,N,NULL,,
2022S001303,21/01/2022,17:20:00,CALL. GRAN VIA,25,25,1,CENTRO,Alcance,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,NULL,NULL,440445854,4474611498,N,NULL,
2022S001329,21/01/2022,20:25:00,CALL. VIA LUSITANA / AVDA. POBLADOS,150,11,CARABANCHEL,Colisión lateral,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,2,Ingreso inferior o igual a 24 horas,437053160,4468785914,N,NULL,,
2022S001410,22/01/2022,17:00:00,CALLE LUCHANA 25,25,7,CHAMBERÍ,Alcance,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,440692261,4475868453,N,NULL,,
2022S001489,23/01/2022,16:40:00,CALL. CARCASTILLO,23,23,11,CARABANCHEL,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,437553744,4470006681,N,NULL,
2022S001538,24/01/2022,16:15:00,CALL. ALCALA,85,85,4,SALAMANCA,Alcance,Nublado,Bicicleta,Conductor,De 35 a 39 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,441847321,4474662181,N,NULL,
2022S001557,24/01/2022,19:11:00,CALL. ALCALA,204,204,4,SALAMANCA,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,443811805,4475807975,N,NULL,
2022S001597,25/01/2022,12:10:00,CALL. MAURICIO LEGENDRE,11,11,5,CHAMARTÍN,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,441787820,4480139275,N,NULL,
2022S001623,25/01/2022,18:15:00,CALL. O'DONNELL / CALL. ALCALA,1,4,SALAMANCA,Colisión lateral,Despejado,Bicicleta,Conductor,Desconocido,Desconocido,NULL,NULL,441995327,4474701923,N,NULL,,
2022S001682,26/01/2022,15:35:00,CALL. COLOMBIA / CALL. PRINCIPE DE VERGARA,8,5,CHAMARTÍN,Colisión lateral,NULL,Bicicleta,Conductor,De 45 a 49 años,Hombre,NULL,NULL,442578923,4478720049,N,NULL,,
2022S001694,26/01/2022,19:38:00,AVDA. LAS SUERTES / CALL. PILAR DE MADARIAGA ROJO,83,18,VILLA DE VALLECAS,Atropello a persona,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,14,Sin asistencia sanitaria,449824429,4468207236,N,NULL,,
2022S001694,26/01/2022,19:38:00,AVDA. LAS SUERTES / CALL. PILAR DE MADARIAGA ROJO,83,18,VILLA DE VALLECAS,Atropello a persona,Despejado,Bicicleta,Peatón,De 40 a 44 años,Hombre,14,Sin asistencia sanitaria,449824429,4468207236,N,NULL,,
2022S001694,26/01/2022,19:38:00,AVDA. LAS SUERTES / CALL. PILAR DE MADARIAGA ROJO,83,18,VILLA DE VALLECAS,Atropello a persona,Despejado,Bicicleta,Peatón,Menor de 5 años,Mujer,1,Atención en urgencias sin posterior ingreso,449824429,4468207236,N,NULL,,
2022S001759,27/01/2022,15:57:00,CALL. BERRUGUETE / CALL. BURGOS,54,6,TETUÁN,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Mujer,14,Sin asistencia sanitaria,440241331,4478913854,N,NULL,,
2022S001772,27/01/2022,19:00:00,AVDA. LOS ROSALES,399,399,17,VILLAVERDE,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,443536858,4465120038,N,NULL,
2022S001858,28/01/2022,16:05:00,CALL. RAIMUNDO LULIO / CALL. SANTA ENGRACIA,24,7,CHAMBERÍ,Colisión frontal,Despejado,Bicicleta,Conductor,De 25 a 29 años,Mujer,2,Ingreso inferior o igual a 24 horas,440799278,4476046192,N,NULL,,
2022S001906,28/01/2022,23:25:00,PASEO. MARQUES DE ZAFRA / CALL. DOCTOR ESQUERDO,2,4,SALAMANCA,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 21 a 24 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,443303029,4475349263,N,NULL,,
2022S002062,29/01/2022,13:20:00,CALL. PORTOMARIN / CALL. ISABEL COLBRAND,5,8,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 50 a 54 años,Mujer,6,Asistencia sanitaria inmediata en centro de salud o mutua,443155958,4485038114,N,NULL,,
2022S002084,30/01/2022,13:10:00,AVDA. ALBUFERA,25,25,13,PUENTE DE VALLECAS,Colisión lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,443381434,4472064741,N,NULL,
2022S002111,30/01/2022,19:20:00,CALL. ALCALA / CALL. VELAZQUEZ,60,3,RETIRO,Colisión lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,441887286,4474671353,N,NULL,,
2022S002229,31/01/2022,14:50:00,PLAZA. PICO SALVAGUARDIA / AUTOV. M-607,1,8,FUENCARRAL-EL PARDO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,440911270,4482268398,N,NULL,,
2022S002246,01/02/2022,18:00:00,CALL. TOLOSA,20,20,12,USERA,Atropello a persona,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Mujer,14,Sin asistencia sanitaria,439418167,4469453282,N,NULL,
2022S002246,01/02/2022,18:00:00,CALL. TOLOSA,20,20,12,USERA,Atropello a persona,Despejado,Bicicleta EPAC (pedaleo asistido),Peatón,De 40 a 44 años,Mujer,2,Ingreso inferior o igual a 24 horas,439418167,4469453282,N,NULL,
2022S002292,26/01/2022,10:00:00,AVDA. COMPLUTENSE / CALL. PROFESOR ARANGUREN,1,9,MONCLOA-ARAVACA,Colisión lateral,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,438232184,4477765563,N,NULL,,
2022S002346,02/02/2022,22:50:00,PLAZA. ALOSNO / AV DEMOCRACIA/PZA ALOSNO,4,19,VICÁLVARO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,NULL,NULL,447651300,4472928877,N,NULL,,
2022S002463,03/02/2022,20:45:00,CALL. FERNANDEZ DE LOS RIOS,34,34,7,CHAMBERÍ,Colisión lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,439980215,4476286551,N,NULL,
2022S002498,04/02/2022,7:50:00,CALL. RIBERA DEL SENA / GTA. LUXEMBURGO,14,21,BARAJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,NULL,NULL,447420978,4479334458,N,NULL,,
2022S002504,04/02/2022,12:00:00,CALL. BLASCO DE GARAY,15,15,7,CHAMBERÍ,Alcance,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,NULL,NULL,439629028,4475900171,N,NULL,
2022S002603,05/02/2022,13:00:00,CALL. ALCALDE SAINZ DE BARANDA,62,62,3,RETIRO,Caída,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,1,Atención en urgencias sin posterior ingreso,443142574,4474201444,N,NULL,
2022S002634,05/02/2022,20:40:00,CALL. GRAN VIA,74,74,1,CENTRO,Alcance,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,NULL,NULL,439785757,4474924304,N,NULL,
2022S002662,05/02/2022,6:30:00,CALL. CARTAGENA / CALL. AZCONA,30,4,SALAMANCA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,2,Ingreso inferior o igual a 24 horas,443136386,4476115860,N,NULL,,
2022S002703,06/02/2022,12:45:00,PASEO. PRADO,7,7,3,RETIRO,Atropello a persona,Despejado,Bicicleta,Conductor,De 60 a 64 años,Hombre,14,Sin asistencia sanitaria,441215781,4473760056,N,NULL,
2022S002703,06/02/2022,12:45:00,PASEO. PRADO,7,7,3,RETIRO,Atropello a persona,Despejado,Bicicleta,Peatón,De 25 a 29 años,Mujer,2,Ingreso inferior o igual a 24 horas,441215781,4473760056,N,NULL,
2022S002703,06/02/2022,12:45:00,PASEO. PRADO,7,7,3,RETIRO,Atropello a persona,Despejado,Bicicleta,Peatón,Más de 74 años,Mujer,2,Ingreso inferior o igual a 24 horas,441215781,4473760056,N,NULL,
2022S002736,07/02/2022,8:45:00,CALL. HERMANOS GARCIA NOBLEJAS,21,21,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,1,Atención en urgencias sin posterior ingreso,446131279,4476115208,N,NULL,
2022S002768,07/02/2022,18:35:00,PLAZA. COLON / CALL. GENOVA,1,1,CENTRO,Colisión lateral,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,14,Sin asistencia sanitaria,441385731,4475199867,N,NULL,,
2022S002821,08/02/2022,15:50:00,CTRA. CIUDAD UNIVERSITARIA,0,0,9,MONCLOA-ARAVACA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,435637278,4474644026,N,NULL,
2022S002821,08/02/2022,15:50:00,CTRA. CIUDAD UNIVERSITARIA,0,0,9,MONCLOA-ARAVACA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 60 a 64 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,435637278,4474644026,N,NULL,
2022S002884,08/02/2022,20:30:00,CALL. GRAN VIA / CALL. GONZALO JIMENEZ DE QUESADA,32,1,CENTRO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,440360257,4474630940,N,NULL,,
2022S002887,08/02/2022,18:00:00,CALL. PRECIADOS / CALL. ROMPELANZAS,13,1,CENTRO,Atropello a persona,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,14,Sin asistencia sanitaria,440181532,4474480931,N,NULL,,
2022S002887,08/02/2022,18:00:00,CALL. PRECIADOS / CALL. ROMPELANZAS,13,1,CENTRO,Atropello a persona,Despejado,Bicicleta,Peatón,De 18 a 20 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,440181532,4474480931,N,NULL,,
2022S003022,05/02/2022,11:35:00,CALL. PROFESOR JOSE GARCIA SANTESMASES,9,9,9,MONCLOA-ARAVACA,Caída,Despejado,Bicicleta,Conductor,Más de 74 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,438042796,4478341181,N,NULL,
2022S003043,10/02/2022,14:10:00,CALL. OBENQUE / CALL. NORAY,1,21,BARAJAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 60 a 64 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,449558371,4477939031,N,NULL,,
2022S003108,10/02/2022,9:50:00,PASEO. PIÑONERO / CALL. ANILLO VERDE,3,9,MONCLOA-ARAVACA,Colisión frontal,Despejado,Bicicleta,Conductor,De 21 a 24 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,438137416,4474626988,N,NULL,,
2022S003108,10/02/2022,9:50:00,PASEO. PIÑONERO / CALL. ANILLO VERDE,3,9,MONCLOA-ARAVACA,Colisión frontal,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,14,Sin asistencia sanitaria,438137416,4474626988,N,NULL,,
2022S003137,11/02/2022,19:05:00,PASEO. RUPERTO CHAPI,0,0,9,MONCLOA-ARAVACA,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 15 a 17 años,Hombre,1,Atención en urgencias sin posterior ingreso,438392854,4476097143,N,NULL,
2022S003241,12/02/2022,8:33:00,AVDA. ANDES,50,50,16,HORTALEZA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 45 a 49 años,Hombre,1,Atención en urgencias sin posterior ingreso,447606973,4478735782,N,NULL,
2022S003256,12/02/2022,12:50:00,CALL. ROSALIA DE CASTRO,69,69,8,FUENCARRAL-EL PARDO,Caída,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,2,Ingreso inferior o igual a 24 horas,437786974,4481800670,N,NULL,
2022S003280,08/02/2022,6:33:00,CALL. DAIMIEL / PASEO. ERMITA DEL SANTO,9,10,LATINA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,2,Ingreso inferior o igual a 24 horas,438590678,4473376435,N,NULL,,
2022S003341,13/02/2022,14:20:00,CALL. RAIMUNDO FERNANDEZ VILLAVERDE,30,30,7,CHAMBERÍ,Choque contra obstáculo fijo,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,2,Ingreso inferior o igual a 24 horas,440669764,4477553993,N,NULL,
2022S003344,12/02/2022,19:50:00,CUSTA. SAN VICENTE,40,40,9,MONCLOA-ARAVACA,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 60 a 64 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,439025523,4474666804,N,NULL,
2022S003379,11/02/2022,13:35:00,AVDA. MANZANARES, FRENTE AL 198,198,12,USERA,Atropello a persona,Despejado,Bicicleta,Conductor,De 60 a 64 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,440377629,4471645073,N,NULL,
2022S003379,11/02/2022,13:35:00,AVDA. MANZANARES, FRENTE AL 198,198,12,USERA,Atropello a persona,Despejado,Bicicleta,Peatón,Menor de 5 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,440377629,4471645073,N,NULL,
2022S003383,14/02/2022,9:00:00,CALL. SERRANO,144,144,5,CHAMARTÍN,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 55 a 59 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,441825922,4477078064,N,NULL,
2022S003412,14/02/2022,16:07:00,PASEO. ACACIAS,FRENTE AL NÚMERO ,69,69,2,ARGANZUELA,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,439466706,4472532803,N,NULL
2022S003425,14/02/2022,17:30:00,CALL. FRANCOS RODRIGUEZ / CALL. MARGARITAS,52,6,TETUÁN,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 18 a 20 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,440105949,4478680818,N,NULL,,
2022S003434,14/02/2022,21:05:00,CALL. SAN BERNARDO,77,77,1,CENTRO,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 25 a 29 años,Hombre,NULL,NULL,440077663,4475441954,N,NULL,
2022S003494,15/02/2022,17:25:00,PLAZA DE EMPERADOR CARLOS V,10,1,CENTRO,Alcance,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,14,Sin asistencia sanitaria,441240237,4473350338,N,NULL,,
2022S003631,05/02/2022,12:00:00,AVDA. VALLADOLID,83,83,9,MONCLOA-ARAVACA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,437715917,4476174373,N,NULL,
2022S003681,16/02/2022,15:10:00,CALL. BARCELO / CALL. FUENCARRAL,1,1,CENTRO,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,5,Asistencia sanitaria ambulatoria con posterioridad,440511394,4475309603,N,NULL,,
2022S003690,16/02/2022,17:30:00,CALL. MESON DE PAREDES / CALL. JUANELO,10,1,CENTRO,Colisión fronto-lateral,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 50 a 54 años,Mujer,1,Atención en urgencias sin posterior ingreso,440178326,4473655669,N,NULL,,
2022S003770,16/02/2022,20:00:00,CALL. ALBERTO AGUILERA,8,8,7,CHAMBERÍ,Colisión lateral,Despejado,Bicicleta,Conductor,De 18 a 20 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,440049160,4475700279,N,NULL,
2022S003825,17/02/2022,12:40:00,PASEO. ACACIAS / PASEO. OLMOS,30A,2,ARGANZUELA,Colisión lateral,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,3,Ingreso superior a 24 horas,439719397,4472720886,N,NULL,,
2022S003870,17/02/2022,16:15:00,AUTOV. M-30, +02000E SALIDA 20A, SENDA CICLABLE,+02000E,9,MONCLOA-ARAVACA,Caída,Despejado,Bicicleta,Conductor,De 30 a 34 años,Mujer,2,Ingreso inferior o igual a 24 horas,437515941,4476210722,N,NULL
2022S003895,17/02/2022,12:50:00,CALL. DOCTOR VALLEJO / CALL. SAMBARA,17,15,CIUDAD LINEAL,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 30 a 34 años,Hombre,1,Atención en urgencias sin posterior ingreso,445383795,4476472099,N,NULL,,
2022S003937,18/02/2022,11:30:00,CALL. SEGOVIA / CALL. BEATRIZ GALINDO,21,1,CENTRO,Alcance,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 30 a 34 años,Mujer,NULL,NULL,439445680,4473943628,N,NULL,,
2022S003968,18/02/2022,13:55:00,CALL. SAN QUINTIN / CALL. BAILEN,10,1,CENTRO,Caída,Despejado,Bicicleta,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,439528966,4474570396,N,NULL,,
2022S004257,20/02/2022,11:10:00,CALL. ANDRES MELLADO / CALL. DONOSO CORTES,66,7,CHAMBERÍ,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,439421373,4476445406,N,NULL,,
2022S004318,18/02/2022,17:02:00,CALL. CERRO MINGUETE, 14A,14A,8,FUENCARRAL-EL PARDO,Colisión lateral,Despejado,Bicicleta,Conductor,De 50 a 54 años,Hombre,NULL,NULL,439174274,4482044898,N,NULL,
2022S004340,21/02/2022,17:32:00,CALL. ARGÜESO / CALL. PELICANO,27,11,CARABANCHEL,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 18 a 20 años,Hombre,1,Atención en urgencias sin posterior ingreso,438333476,4470591750,N,NULL,,
2022S004492,22/02/2022,14:30:00,CALL. CLARA CAMPOAMOR,25,25,11,CARABANCHEL,Caída,Despejado,Bicicleta EPAC (pedaleo asistido),Conductor,De 40 a 44 años,Mujer,5,Asistencia sanitaria ambulatoria con posterioridad,437749445,4470645442,N,NULL,
2022S004570,23/02/2022,11:40:00,AVDA. NICETO ALCALA ZAMORA,4,4,16,HORTALEZA,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 40 a 44 años,Hombre,2,Ingreso inferior o igual a 24 horas,444947011,4481407058,N,NULL,
2022S004577,23/02/2022,10:35:00,AUTOV. M-607, +00900E,+00900E,8,FUENCARRAL-EL PARDO,Caída,Despejado,Bicicleta,Conductor,De 55 a 59 años,Hombre,2,Ingreso inferior o igual a 24 horas,440271528,4489059353,N,NULL,
2022S004591,22/02/2022,18:35:00,CTRA. M-612, 4100S,4100S,8,FUENCARRAL-EL PARDO,Caída,Despejado,Bicicleta,Conductor,De 15 a 17 años,Hombre,1,Atención en urgencias sin posterior ingreso,437373342,4485092675,N,NULL,
